date,region_code,energy_consumption_mwh,data_type
2025-05-04,PJM,1821646,Day-ahead demand forecast
2025-05-04,PJM,1883414,Demand
2025-05-04,PJM,1885536,Demand
2025-05-04,PJM,1886444,Demand
2025-05-04,PJM,1884337,Demand
2025-05-04,PJM,1821777,Day-ahead demand forecast
2025-05-04,PJM,1821646,Day-ahead demand forecast
2025-05-04,PJM,1822796,Day-ahead demand forecast
2025-05-04,PJM,1824554,Day-ahead demand forecast
2025-05-04,PJM,1883414,Demand
2025-05-05,PJM,2005714,Demand
2025-05-05,PJM,2003962,Demand
2025-05-05,PJM,2002800,Demand
2025-05-05,PJM,2004900,Demand
2025-05-05,PJM,2005714,Demand
2025-05-05,PJM,1949067,Day-ahead demand forecast
2025-05-05,PJM,1947785,Day-ahead demand forecast
2025-05-05,PJM,1946936,Day-ahead demand forecast
2025-05-05,PJM,1948510,Day-ahead demand forecast
2025-05-05,PJM,1949067,Day-ahead demand forecast
2025-05-06,PJM,1984170,Demand
2025-05-06,PJM,1986496,Demand
2025-05-06,PJM,1987501,Demand
2025-05-06,PJM,1985448,Demand
2025-05-06,PJM,1947582,Day-ahead demand forecast
2025-05-06,PJM,1947582,Day-ahead demand forecast
2025-05-06,PJM,1948392,Day-ahead demand forecast
2025-05-06,PJM,1948739,Day-ahead demand forecast
2025-05-06,PJM,1948018,Day-ahead demand forecast
2025-05-06,PJM,1984170,Demand
2025-05-07,PJM,1983142,Demand
2025-05-07,PJM,1986506,Demand
2025-05-07,PJM,1984386,Demand
2025-05-07,PJM,1985330,Demand
2025-05-07,PJM,1986506,Demand
2025-05-07,PJM,1948990,Day-ahead demand forecast
2025-05-07,PJM,1948924,Day-ahead demand forecast
2025-05-07,PJM,1948639,Day-ahead demand forecast
2025-05-07,PJM,1949048,Day-ahead demand forecast
2025-05-07,PJM,1948990,Day-ahead demand forecast
2025-05-08,PJM,2025767,Demand
2025-05-08,PJM,2023980,Demand
2025-05-08,PJM,2022863,Demand
2025-05-08,PJM,2024624,Demand
2025-05-08,PJM,2025767,Demand
2025-05-08,PJM,1956635,Day-ahead demand forecast
2025-05-08,PJM,1954574,Day-ahead demand forecast
2025-05-08,PJM,1953599,Day-ahead demand forecast
2025-05-08,PJM,1955589,Day-ahead demand forecast
2025-05-08,PJM,1956635,Day-ahead demand forecast
2025-05-09,PJM,1923250,Demand
2025-05-09,PJM,1933454,Demand
2025-05-09,PJM,1939256,Demand
2025-05-09,PJM,1928628,Demand
2025-05-09,PJM,1892760,Day-ahead demand forecast
2025-05-09,PJM,1892760,Day-ahead demand forecast
2025-05-09,PJM,1896406,Day-ahead demand forecast
2025-05-09,PJM,1898400,Day-ahead demand forecast
2025-05-09,PJM,1894513,Day-ahead demand forecast
2025-05-09,PJM,1923250,Demand
2025-05-10,PJM,1782480,Demand
2025-05-10,PJM,1775888,Demand
2025-05-10,PJM,1780405,Demand
2025-05-10,PJM,1778181,Demand
2025-05-10,PJM,1742207,Day-ahead demand forecast
2025-05-10,PJM,1742207,Day-ahead demand forecast
2025-05-10,PJM,1749049,Day-ahead demand forecast
2025-05-10,PJM,1752353,Day-ahead demand forecast
2025-05-10,PJM,1745728,Day-ahead demand forecast
2025-05-10,PJM,1775888,Demand
2025-05-11,PJM,1820740,Demand
2025-05-11,PJM,1812765,Demand
2025-05-11,PJM,1808585,Demand
2025-05-11,PJM,1816779,Demand
2025-05-11,PJM,1820740,Demand
2025-05-11,PJM,1757057,Day-ahead demand forecast
2025-05-11,PJM,1753029,Day-ahead demand forecast
2025-05-11,PJM,1751254,Day-ahead demand forecast
2025-05-11,PJM,1754926,Day-ahead demand forecast
2025-05-11,PJM,1757057,Day-ahead demand forecast
2025-05-12,PJM,2043592,Demand
2025-05-12,PJM,2033845,Demand
2025-05-12,PJM,2027993,Demand
