date,region_code,energy_consumption_mwh,data_type
2025-04-13,ERCO,1249694,Day-ahead demand forecast
2025-04-13,ERCO,1221823,Demand
2025-04-13,ERCO,1219633,Demand
2025-04-13,ERCO,1217949,Demand
2025-04-13,ERCO,1220876,Demand
2025-04-13,ERCO,1250476,Day-ahead demand forecast
2025-04-13,ERCO,1249694,Day-ahead demand forecast
2025-04-13,ERCO,1250756,Day-ahead demand forecast
2025-04-13,ERCO,1247010,Day-ahead demand forecast
2025-04-13,ERCO,1221823,Demand
2025-04-14,ERCO,1271438,Demand
2025-04-14,ERCO,1272661,Demand
2025-04-14,ERCO,1272858,Demand
2025-04-14,ERCO,1272049,Demand
2025-04-14,ERCO,1271438,Demand
2025-04-14,ERCO,1278750,Day-ahead demand forecast
2025-04-14,ERCO,1279355,Day-ahead demand forecast
2025-04-14,ERCO,1280633,Day-ahead demand forecast
2025-04-14,ERCO,1279166,Day-ahead demand forecast
2025-04-14,ERCO,1278750,Day-ahead demand forecast
2025-04-15,ERCO,1174237,Demand
2025-04-15,ERCO,1178319,Demand
2025-04-15,ERCO,1181414,Demand
2025-04-15,ERCO,1175929,Demand
2025-04-15,ERCO,1205173,Day-ahead demand forecast
2025-04-15,ERCO,1205173,Day-ahead demand forecast
2025-04-15,ERCO,1207414,Day-ahead demand forecast
2025-04-15,ERCO,1209286,Day-ahead demand forecast
2025-04-15,ERCO,1206068,Day-ahead demand forecast
2025-04-15,ERCO,1174237,Demand
2025-04-16,ERCO,1215278,Demand
2025-04-16,ERCO,1223818,Demand
2025-04-16,ERCO,1218437,Demand
2025-04-16,ERCO,1221374,Demand
2025-04-16,ERCO,1223818,Demand
2025-04-16,ERCO,1225857,Day-ahead demand forecast
2025-04-16,ERCO,1224216,Day-ahead demand forecast
2025-04-16,ERCO,1222525,Day-ahead demand forecast
2025-04-16,ERCO,1225025,Day-ahead demand forecast
2025-04-16,ERCO,1225857,Day-ahead demand forecast
2025-04-17,ERCO,1272816,Demand
2025-04-17,ERCO,1269757,Demand
2025-04-17,ERCO,1268273,Demand
2025-04-17,ERCO,1271316,Demand
2025-04-17,ERCO,1272816,Demand
2025-04-17,ERCO,1263414,Day-ahead demand forecast
2025-04-17,ERCO,1258187,Day-ahead demand forecast
2025-04-17,ERCO,1257433,Day-ahead demand forecast
2025-04-17,ERCO,1260843,Day-ahead demand forecast
2025-04-17,ERCO,1263414,Day-ahead demand forecast
2025-04-18,ERCO,1287137,Demand
2025-04-18,ERCO,1283826,Demand
2025-04-18,ERCO,1282488,Demand
2025-04-18,ERCO,1285446,Demand
2025-04-18,ERCO,1310984,Day-ahead demand forecast
2025-04-18,ERCO,1310984,Day-ahead demand forecast
2025-04-18,ERCO,1307293,Day-ahead demand forecast
2025-04-18,ERCO,1304177,Day-ahead demand forecast
2025-04-18,ERCO,1309148,Day-ahead demand forecast
2025-04-18,ERCO,1287137,Demand
2025-04-19,ERCO,1209716,Demand
2025-04-19,ERCO,1201797,Demand
2025-04-19,ERCO,1206502,Demand
2025-04-19,ERCO,1204062,Demand
2025-04-19,ERCO,1242052,Day-ahead demand forecast
2025-04-19,ERCO,1242052,Day-ahead demand forecast
2025-04-19,ERCO,1246521,Day-ahead demand forecast
2025-04-19,ERCO,1250085,Day-ahead demand forecast
2025-04-19,ERCO,1243984,Day-ahead demand forecast
2025-04-19,ERCO,1201797,Demand
2025-04-20,ERCO,1156174,Demand
2025-04-20,ERCO,1164313,Demand
2025-04-20,ERCO,1167853,Demand
2025-04-20,ERCO,1160109,Demand
2025-04-20,ERCO,1156174,Demand
2025-04-20,ERCO,1167010,Day-ahead demand forecast
2025-04-20,ERCO,1173325,Day-ahead demand forecast
2025-04-20,ERCO,1176288,Day-ahead demand forecast
2025-04-20,ERCO,1170273,Day-ahead demand forecast
2025-04-20,ERCO,1167010,Day-ahead demand forecast
2025-04-21,ERCO,1207627,Demand
2025-04-21,ERCO,1203414,Demand
2025-04-21,ERCO,1200622,Demand
2025-04-21,ERCO,1205672,Demand
2025-04-21,ERCO,1222526,Day-ahead demand forecast
2025-04-21,ERCO,1222526,Day-ahead demand forecast
2025-04-21,ERCO,1219232,Day-ahead demand forecast
2025-04-21,ERCO,1217586,Day-ahead demand forecast
2025-04-21,ERCO,1221059,Day-ahead demand forecast
2025-04-21,ERCO,1207627,Demand
2025-04-22,ERCO,1277673,Demand
2025-04-22,ERCO,1285560,Demand
2025-04-22,ERCO,1280596,Demand
2025-04-22,ERCO,1283225,Demand
2025-04-22,ERCO,1268057,Day-ahead demand forecast
2025-04-22,ERCO,1268057,Day-ahead demand forecast
2025-04-22,ERCO,1264101,Day-ahead demand forecast
2025-04-22,ERCO,1261583,Day-ahead demand forecast
2025-04-22,ERCO,1266231,Day-ahead demand forecast
2025-04-22,ERCO,1285560,Demand
2025-04-23,ERCO,1247638,Demand
2025-04-23,ERCO,1249686,Demand
2025-04-23,ERCO,1251724,Demand
2025-04-23,ERCO,1248399,Demand
2025-04-23,ERCO,1247638,Demand
2025-04-23,ERCO,1263477,Day-ahead demand forecast
2025-04-23,ERCO,1264739,Day-ahead demand forecast
2025-04-23,ERCO,1262218,Day-ahead demand forecast
2025-04-23,ERCO,1261210,Day-ahead demand forecast
2025-04-23,ERCO,1261210,Day-ahead demand forecast
2025-04-24,ERCO,1242532,Demand
2025-04-24,ERCO,1237172,Demand
2025-04-24,ERCO,1240716,Demand
2025-04-24,ERCO,1238857,Demand
2025-04-24,ERCO,1237172,Demand
2025-04-24,ERCO,1271021,Day-ahead demand forecast
2025-04-24,ERCO,1271877,Day-ahead demand forecast
2025-04-24,ERCO,1270596,Day-ahead demand forecast
2025-04-24,ERCO,1271392,Day-ahead demand forecast
2025-04-24,ERCO,1271021,Day-ahead demand forecast
2025-04-25,ERCO,1261867,Demand
2025-04-25,ERCO,1256501,Demand
2025-04-25,ERCO,1253204,Demand
2025-04-25,ERCO,1259524,Demand
2025-04-25,ERCO,1261867,Demand
2025-04-25,ERCO,1284660,Day-ahead demand forecast
2025-04-25,ERCO,1280445,Day-ahead demand forecast
2025-04-25,ERCO,1279690,Day-ahead demand forecast
2025-04-25,ERCO,1282613,Day-ahead demand forecast
2025-04-25,ERCO,1284660,Day-ahead demand forecast
2025-04-26,ERCO,1242070,Demand
2025-04-26,ERCO,1242288,Demand
2025-04-26,ERCO,1242701,Demand
2025-04-26,ERCO,1242322,Demand
2025-04-26,ERCO,1252465,Day-ahead demand forecast
2025-04-26,ERCO,1252465,Day-ahead demand forecast
2025-04-26,ERCO,1253625,Day-ahead demand forecast
2025-04-26,ERCO,1254663,Day-ahead demand forecast
2025-04-26,ERCO,1252992,Day-ahead demand forecast
2025-04-26,ERCO,1242070,Demand
2025-04-27,ERCO,1268886,Demand
2025-04-27,ERCO,1274196,Demand
