date,region_code,energy_consumption_mwh,data_type
2025-05-04,NYIS,333942,Day-ahead demand forecast
2025-05-04,NYIS,349654,Demand
2025-05-04,NYIS,350673,Demand
2025-05-04,NYIS,351454,Demand
2025-05-04,NYIS,350064,Demand
2025-05-04,NYIS,334105,Day-ahead demand forecast
2025-05-04,NYIS,333942,Day-ahead demand forecast
2025-05-04,NYIS,334748,Day-ahead demand forecast
2025-05-04,NYIS,349654,Demand
2025-05-04,NYIS,334371,Day-ahead demand forecast
2025-05-05,NYIS,364464,Day-ahead demand forecast
2025-05-05,NYIS,364438,Day-ahead demand forecast
2025-05-05,NYIS,364275,Day-ahead demand forecast
2025-05-05,NYIS,364387,Day-ahead demand forecast
2025-05-05,NYIS,364464,Day-ahead demand forecast
2025-05-05,NYIS,375255,Demand
2025-05-05,NYIS,375309,Demand
2025-05-05,NYIS,370613,Demand
2025-05-05,NYIS,372733,Demand
2025-05-05,NYIS,375255,Demand
2025-05-06,NYIS,360106,Demand
2025-05-06,NYIS,362853,Demand
2025-05-06,NYIS,365045,Demand
2025-05-06,NYIS,360192,Demand
2025-05-06,NYIS,358269,Day-ahead demand forecast
2025-05-06,NYIS,358316,Day-ahead demand forecast
2025-05-06,NYIS,358313,Day-ahead demand forecast
2025-05-06,NYIS,358323,Day-ahead demand forecast
2025-05-06,NYIS,358316,Day-ahead demand forecast
2025-05-06,NYIS,360106,Demand
2025-05-07,NYIS,357694,Demand
2025-05-07,NYIS,357887,Demand
2025-05-07,NYIS,357467,Demand
2025-05-07,NYIS,357887,Demand
2025-05-07,NYIS,357163,Demand
2025-05-07,NYIS,352028,Day-ahead demand forecast
2025-05-07,NYIS,351990,Day-ahead demand forecast
2025-05-07,NYIS,352051,Day-ahead demand forecast
2025-05-07,NYIS,352005,Day-ahead demand forecast
2025-05-07,NYIS,351990,Day-ahead demand forecast
2025-05-08,NYIS,369593,Demand
2025-05-08,NYIS,369180,Demand
2025-05-08,NYIS,368991,Demand
2025-05-08,NYIS,369388,Demand
2025-05-08,NYIS,369593,Demand
2025-05-08,NYIS,351810,Day-ahead demand forecast
2025-05-08,NYIS,351461,Day-ahead demand forecast
2025-05-08,NYIS,351333,Day-ahead demand forecast
2025-05-08,NYIS,351636,Day-ahead demand forecast
2025-05-08,NYIS,351810,Day-ahead demand forecast
2025-05-09,NYIS,371722,Demand
2025-05-09,NYIS,372064,Demand
