date,region_code,energy_consumption_mwh,data_type
2025-05-04,AZPS,79756,Day-ahead demand forecast
2025-05-04,AZPS,76402,Demand
2025-05-04,AZPS,77745,Demand
2025-05-04,AZPS,78499,Demand
2025-05-04,AZPS,77002,Demand
2025-05-04,AZPS,80410,Day-ahead demand forecast
2025-05-04,AZPS,79756,Day-ahead demand forecast
2025-05-04,AZPS,81195,Day-ahead demand forecast
2025-05-04,AZPS,76402,Demand
2025-05-04,AZPS,80801,Day-ahead demand forecast
2025-05-05,AZPS,79407,Demand
2025-05-05,AZPS,78033,Demand
2025-05-05,AZPS,77445,Demand
2025-05-05,AZPS,78731,Demand
2025-05-05,AZPS,78061,Day-ahead demand forecast
2025-05-05,AZPS,78061,Day-ahead demand forecast
2025-05-05,AZPS,78250,Day-ahead demand forecast
2025-05-05,AZPS,79407,Demand
2025-05-05,AZPS,78701,Day-ahead demand forecast
2025-05-05,AZPS,79178,Day-ahead demand forecast
2025-05-06,AZPS,79816,Day-ahead demand forecast
2025-05-06,AZPS,79701,Day-ahead demand forecast
2025-05-06,AZPS,79472,Day-ahead demand forecast
2025-05-06,AZPS,79613,Day-ahead demand forecast
2025-05-06,AZPS,79816,Day-ahead demand forecast
2025-05-06,AZPS,83405,Demand
2025-05-06,AZPS,83315,Demand
2025-05-06,AZPS,83121,Demand
2025-05-06,AZPS,83249,Demand
2025-05-06,AZPS,83405,Demand
2025-05-07,AZPS,82119,Demand
2025-05-07,AZPS,82416,Demand
2025-05-07,AZPS,82662,Demand
2025-05-07,AZPS,82310,Demand
2025-05-07,AZPS,82798,Day-ahead demand forecast
2025-05-07,AZPS,83076,Day-ahead demand forecast
2025-05-07,AZPS,82529,Day-ahead demand forecast
2025-05-07,AZPS,82231,Day-ahead demand forecast
2025-05-07,AZPS,83076,Day-ahead demand forecast
2025-05-07,AZPS,82119,Demand
2025-05-08,AZPS,88270,Demand
2025-05-08,AZPS,90021,Demand
2025-05-08,AZPS,89045,Demand
2025-05-08,AZPS,89513,Demand
2025-05-08,AZPS,88683,Day-ahead demand forecast
2025-05-08,AZPS,89018,Day-ahead demand forecast
2025-05-08,AZPS,90021,Demand
2025-05-08,AZPS,89018,Day-ahead demand forecast
2025-05-08,AZPS,88318,Day-ahead demand forecast
2025-05-08,AZPS,87900,Day-ahead demand forecast
2025-05-09,AZPS,100888,Day-ahead demand forecast
2025-05-09,AZPS,100414,Day-ahead demand forecast
2025-05-09,AZPS,99769,Day-ahead demand forecast
2025-05-09,AZPS,100099,Day-ahead demand forecast
2025-05-09,AZPS,100888,Day-ahead demand forecast
2025-05-09,AZPS,103127,Demand
2025-05-09,AZPS,102619,Demand
2025-05-09,AZPS,102785,Demand
2025-05-09,AZPS,103394,Demand
2025-05-09,AZPS,103394,Demand
2025-05-10,AZPS,104550,Demand
2025-05-10,AZPS,104585,Demand
2025-05-10,AZPS,104662,Demand
2025-05-10,AZPS,104789,Demand
2025-05-10,AZPS,104585,Demand
2025-05-10,AZPS,105916,Day-ahead demand forecast
2025-05-10,AZPS,106007,Day-ahead demand forecast
2025-05-10,AZPS,106007,Day-ahead demand forecast
2025-05-10,AZPS,105674,Day-ahead demand forecast
2025-05-10,AZPS,106162,Day-ahead demand forecast
2025-05-11,AZPS,102052,Day-ahead demand forecast
2025-05-11,AZPS,101852,Day-ahead demand forecast
2025-05-11,AZPS,101683,Day-ahead demand forecast
2025-05-11,AZPS,101813,Day-ahead demand forecast
2025-05-11,AZPS,102052,Day-ahead demand forecast
2025-05-11,AZPS,103311,Demand
2025-05-11,AZPS,103094,Demand
2025-05-11,AZPS,102343,Demand
2025-05-11,AZPS,102772,Demand
2025-05-11,AZPS,103311,Demand
2025-05-12,AZPS,108451,Demand
2025-05-12,AZPS,109029,Demand
2025-05-12,AZPS,109485,Demand
2025-05-12,AZPS,108725,Demand
2025-05-12,AZPS,107560,Day-ahead demand forecast
2025-05-12,AZPS,107106,Day-ahead demand forecast
2025-05-12,AZPS,107441,Day-ahead demand forecast
2025-05-12,AZPS,107287,Day-ahead demand forecast
2025-05-12,AZPS,107106,Day-ahead demand forecast
2025-05-12,AZPS,108451,Demand
2025-05-13,AZPS,92708,Demand
2025-05-13,AZPS,91116,Demand
2025-05-13,AZPS,92180,Demand
2025-05-13,AZPS,91654,Demand
2025-05-13,AZPS,92343,Day-ahead demand forecast
2025-05-13,AZPS,89993,Day-ahead demand forecast
2025-05-13,AZPS,91116,Demand
2025-05-13,AZPS,89993,Day-ahead demand forecast
2025-05-13,AZPS,91395,Day-ahead demand forecast
2025-05-13,AZPS,90644,Day-ahead demand forecast
2025-05-14,AZPS,80948,Day-ahead demand forecast
2025-05-14,AZPS,80937,Day-ahead demand forecast
2025-05-14,AZPS,81105,Day-ahead demand forecast
2025-05-14,AZPS,81014,Day-ahead demand forecast
2025-05-14,AZPS,80948,Day-ahead demand forecast
2025-05-14,AZPS,88789,Demand
2025-05-14,AZPS,88493,Demand
2025-05-14,AZPS,88621,Demand
2025-05-14,AZPS,88982,Demand
2025-05-14,AZPS,88982,Demand
2025-05-15,AZPS,94802,Demand
2025-05-15,AZPS,94742,Demand
2025-05-15,AZPS,94805,Demand
2025-05-15,AZPS,94752,Demand
2025-05-15,AZPS,85036,Day-ahead demand forecast
2025-05-15,AZPS,84856,Day-ahead demand forecast
2025-05-15,AZPS,94742,Demand
2025-05-15,AZPS,85036,Day-ahead demand forecast
2025-05-15,AZPS,84682,Day-ahead demand forecast
2025-05-15,AZPS,84985,Day-ahead demand forecast
2025-05-16,AZPS,88108,Day-ahead demand forecast
2025-05-16,AZPS,88039,Day-ahead demand forecast
2025-05-16,AZPS,87829,Day-ahead demand forecast
2025-05-16,AZPS,87913,Day-ahead demand forecast
2025-05-16,AZPS,88108,Day-ahead demand forecast
2025-05-16,AZPS,93509,Demand
2025-05-16,AZPS,93357,Demand
2025-05-16,AZPS,93184,Demand
2025-05-16,AZPS,93234,Demand
2025-05-16,AZPS,93509,Demand
2025-05-17,AZPS,88837,Demand
2025-05-17,AZPS,89040,Demand
2025-05-17,AZPS,89122,Demand
2025-05-17,AZPS,88933,Demand
2025-05-17,AZPS,85380,Day-ahead demand forecast
2025-05-17,AZPS,85477,Day-ahead demand forecast
2025-05-17,AZPS,85356,Day-ahead demand forecast
2025-05-17,AZPS,85341,Day-ahead demand forecast
2025-05-17,AZPS,85477,Day-ahead demand forecast
2025-05-17,AZPS,88837,Demand
2025-05-18,AZPS,84452,Demand
2025-05-18,AZPS,85070,Demand
