date,region_code,energy_consumption_mwh,data_type
2025-04-13,SCL,23325,Day-ahead demand forecast
2025-04-13,SCL,24076,Demand
2025-04-13,SCL,24118,Demand
2025-04-13,SCL,24111,Demand
2025-04-13,SCL,24108,Demand
2025-04-13,SCL,23373,Day-ahead demand forecast
2025-04-13,SCL,23325,Day-ahead demand forecast
2025-04-13,SCL,23407,Day-ahead demand forecast
2025-04-13,SCL,23414,Day-ahead demand forecast
2025-04-13,SCL,24076,Demand
2025-04-14,SCL,24877,Demand
2025-04-14,SCL,24934,Demand
2025-04-14,SCL,24949,Demand
2025-04-14,SCL,24913,Demand
2025-04-14,SCL,24877,Demand
2025-04-14,SCL,24838,Day-ahead demand forecast
2025-04-14,SCL,24847,Day-ahead demand forecast
2025-04-14,SCL,24845,Day-ahead demand forecast
2025-04-14,SCL,24844,Day-ahead demand forecast
2025-04-14,SCL,24838,Day-ahead demand forecast
2025-04-15,SCL,24264,Demand
2025-04-15,SCL,24275,Demand
2025-04-15,SCL,24292,Demand
2025-04-15,SCL,24264,Demand
2025-04-15,SCL,23806,Day-ahead demand forecast
2025-04-15,SCL,23806,Day-ahead demand forecast
2025-04-15,SCL,23859,Day-ahead demand forecast
2025-04-15,SCL,23888,Day-ahead demand forecast
2025-04-15,SCL,23832,Day-ahead demand forecast
2025-04-15,SCL,24264,Demand
2025-04-16,SCL,23112,Demand
2025-04-16,SCL,22975,Demand
2025-04-16,SCL,23073,Demand
2025-04-16,SCL,23023,Demand
2025-04-16,SCL,22975,Demand
2025-04-16,SCL,23497,Day-ahead demand forecast
2025-04-16,SCL,23493,Day-ahead demand forecast
2025-04-16,SCL,23493,Day-ahead demand forecast
2025-04-16,SCL,23495,Day-ahead demand forecast
2025-04-16,SCL,23497,Day-ahead demand forecast
2025-04-17,SCL,23060,Demand
2025-04-17,SCL,23079,Demand
2025-04-17,SCL,23091,Demand
2025-04-17,SCL,23065,Demand
2025-04-17,SCL,23060,Demand
2025-04-17,SCL,23606,Day-ahead demand forecast
2025-04-17,SCL,23609,Day-ahead demand forecast
2025-04-17,SCL,23619,Day-ahead demand forecast
2025-04-17,SCL,23602,Day-ahead demand forecast
2025-04-17,SCL,23606,Day-ahead demand forecast
2025-04-18,SCL,23362,Demand
2025-04-18,SCL,23307,Demand
2025-04-18,SCL,23316,Demand
2025-04-18,SCL,23338,Demand
2025-04-18,SCL,23177,Day-ahead demand forecast
2025-04-18,SCL,23177,Day-ahead demand forecast
2025-04-18,SCL,23206,Day-ahead demand forecast
2025-04-18,SCL,23246,Day-ahead demand forecast
2025-04-18,SCL,23188,Day-ahead demand forecast
2025-04-18,SCL,23362,Demand
2025-04-19,SCL,22151,Demand
2025-04-19,SCL,22180,Demand
2025-04-19,SCL,22168,Demand
2025-04-19,SCL,22179,Demand
2025-04-19,SCL,21421,Day-ahead demand forecast
2025-04-19,SCL,21421,Day-ahead demand forecast
2025-04-19,SCL,21409,Day-ahead demand forecast
2025-04-19,SCL,21410,Day-ahead demand forecast
2025-04-19,SCL,21415,Day-ahead demand forecast
2025-04-19,SCL,22180,Demand
2025-04-20,SCL,22896,Demand
2025-04-20,SCL,22875,Demand
2025-04-20,SCL,22852,Demand
2025-04-20,SCL,22880,Demand
2025-04-20,SCL,22896,Demand
2025-04-20,SCL,22595,Day-ahead demand forecast
2025-04-20,SCL,22538,Day-ahead demand forecast
2025-04-20,SCL,22461,Day-ahead demand forecast
2025-04-20,SCL,22578,Day-ahead demand forecast
2025-04-20,SCL,22595,Day-ahead demand forecast
2025-04-21,SCL,25441,Demand
2025-04-21,SCL,25349,Demand
2025-04-21,SCL,25282,Demand
2025-04-21,SCL,25405,Demand
2025-04-21,SCL,25275,Day-ahead demand forecast
2025-04-21,SCL,25275,Day-ahead demand forecast
2025-04-21,SCL,25199,Day-ahead demand forecast
2025-04-21,SCL,25158,Day-ahead demand forecast
2025-04-21,SCL,25235,Day-ahead demand forecast
2025-04-21,SCL,25441,Demand
2025-04-22,SCL,24964,Demand
2025-04-22,SCL,24942,Demand
2025-04-22,SCL,24947,Demand
2025-04-22,SCL,24937,Demand
2025-04-22,SCL,24393,Day-ahead demand forecast
2025-04-22,SCL,24393,Day-ahead demand forecast
2025-04-22,SCL,24437,Day-ahead demand forecast
2025-04-22,SCL,24468,Day-ahead demand forecast
2025-04-22,SCL,24413,Day-ahead demand forecast
2025-04-22,SCL,24942,Demand
2025-04-23,SCL,23675,Demand
2025-04-23,SCL,23831,Demand
2025-04-23,SCL,23904,Demand
2025-04-23,SCL,23756,Demand
2025-04-23,SCL,23675,Demand
2025-04-23,SCL,24131,Day-ahead demand forecast
2025-04-23,SCL,24154,Day-ahead demand forecast
2025-04-23,SCL,24110,Day-ahead demand forecast
2025-04-23,SCL,24083,Day-ahead demand forecast
2025-04-23,SCL,24083,Day-ahead demand forecast
2025-04-24,SCL,23026,Demand
2025-04-24,SCL,22964,Demand
2025-04-24,SCL,23007,Demand
2025-04-24,SCL,22986,Demand
2025-04-24,SCL,22964,Demand
2025-04-24,SCL,23278,Day-ahead demand forecast
2025-04-24,SCL,23345,Day-ahead demand forecast
2025-04-24,SCL,23379,Day-ahead demand forecast
2025-04-24,SCL,23311,Day-ahead demand forecast
2025-04-24,SCL,23278,Day-ahead demand forecast
2025-04-25,SCL,22990,Demand
2025-04-25,SCL,22930,Demand
2025-04-25,SCL,22913,Demand
2025-04-25,SCL,22964,Demand
2025-04-25,SCL,22990,Demand
2025-04-25,SCL,22944,Day-ahead demand forecast
2025-04-25,SCL,22946,Day-ahead demand forecast
2025-04-25,SCL,22967,Day-ahead demand forecast
2025-04-25,SCL,22940,Day-ahead demand forecast
2025-04-25,SCL,22944,Day-ahead demand forecast
2025-04-26,SCL,21789,Demand
2025-04-26,SCL,21815,Demand
2025-04-26,SCL,21850,Demand
2025-04-26,SCL,21786,Demand
2025-04-26,SCL,21027,Day-ahead demand forecast
2025-04-26,SCL,21027,Day-ahead demand forecast
2025-04-26,SCL,21061,Day-ahead demand forecast
2025-04-26,SCL,21097,Day-ahead demand forecast
2025-04-26,SCL,21037,Day-ahead demand forecast
2025-04-26,SCL,21789,Demand
2025-04-27,SCL,22336,Demand
2025-04-27,SCL,22496,Demand
2025-04-27,SCL,22406,Demand
2025-04-27,SCL,22460,Demand
2025-04-27,SCL,21878,Day-ahead demand forecast
2025-04-27,SCL,21878,Day-ahead demand forecast
2025-04-27,SCL,21814,Day-ahead demand forecast
2025-04-27,SCL,21749,Day-ahead demand forecast
2025-04-27,SCL,21856,Day-ahead demand forecast
2025-04-27,SCL,22496,Demand
2025-04-28,SCL,25051,Demand
2025-04-28,SCL,24993,Demand
2025-04-28,SCL,24944,Demand
2025-04-28,SCL,25034,Demand
2025-04-28,SCL,25051,Demand
2025-04-28,SCL,24320,Day-ahead demand forecast
2025-04-28,SCL,24257,Day-ahead demand forecast
2025-04-28,SCL,24371,Day-ahead demand forecast
2025-04-28,SCL,24408,Day-ahead demand forecast
2025-04-28,SCL,24408,Day-ahead demand forecast
2025-04-29,SCL,25209,Demand
2025-04-29,SCL,25214,Demand
